"Ssciname","scommname","qseqid","sseqid","pident","length","mismatch","gapopen","qcovus","qstart","qend","sstart","send","evalue","bitscore","staxids","qlen","qcovs","annotated_tax","pmatchsel","sum_Reads"
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259555|gb|KC193701.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259541|gb|KC193700.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259513|gb|KC193698.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259499|gb|KC193697.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259485|gb|KC193696.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259471|gb|KC193695.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259457|gb|KC193694.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259443|gb|KC193693.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259429|gb|KC193692.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259415|gb|KC193691.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259387|gb|KC193689.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259373|gb|KC193688.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259345|gb|KC193686.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259331|gb|KC193685.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259317|gb|KC193684.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259303|gb|KC193683.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259289|gb|KC193682.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|426259261|gb|KC193680.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Sprattus sprattus","European sprat","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|148922628|ref|NC_009593.1|",98.837,172,2,0,100,1,172,316,487,3.38e-79,307,"196075",172,100,"Clupea pallasii","1",205114
"Clupea harengus","Atlantic herring","eedc937a4c6868cf6c77409e1133bf9188d7d9fc","gi|148922530|ref|NC_009577.1|",98.837,172,2,0,100,1,172,315,486,3.38e-79,307,"7950",172,100,"Clupea pallasii","1",205114
"Leuroglossus schmidti","northern smooth-tongue","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985566562|dbj|LC069497.1|",99.408,169,1,0,100,1,169,1,169,3.31e-79,307,"557346",169,100,"Leuroglossus schmidti","0.994",120040
"Leuroglossus stilbius","California smoothtongue","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|2491777066|gb|OQ846261.1|",99.408,169,1,0,100,1,169,1,169,3.31e-79,307,"301819",169,100,"Leuroglossus schmidti","0.994",120040
"Leuroglossus schmidti","northern smooth-tongue","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|906357379|dbj|AB969999.1|",98.817,169,2,0,100,1,169,1,169,1.54e-77,302,"557346",169,100,"Leuroglossus schmidti","0.994",120040
"Leuroglossus schmidti","northern smooth-tongue","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985566935|dbj|LC091602.1|",99.39,164,1,0,97,1,164,1,164,1.99e-76,298,"557346",169,97,"Leuroglossus schmidti","0.994",120040
"Leuroglossus schmidti","northern smooth-tongue","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985564974|dbj|LC020993.1|",98.225,169,3,0,100,1,169,1,169,7.16e-76,296,"557346",169,100,"Leuroglossus schmidti","0.994",120040
"Leuroglossus schmidti","northern smooth-tongue","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985564975|dbj|LC020994.1|",97.633,169,4,0,100,1,169,1,169,3.33e-74,291,"557346",169,100,"Leuroglossus schmidti","0.994",120040
"Lipolagus ochotensis","eared blacksmelt","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985564976|dbj|LC020995.1|",94.083,169,10,0,100,1,169,1,169,3.38e-64,257,"170193",169,100,"Leuroglossus schmidti","0.994",120040
"Bathylagoides wesethi","Bathylagoides wesethi","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|2491776934|gb|OQ846129.1|",94.083,169,10,0,100,1,169,1,169,3.38e-64,257,"875769",169,100,"Leuroglossus schmidti","0.994",120040
"Lipolagus ochotensis","eared blacksmelt","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|1561111658|dbj|LC458388.1|",93.491,169,11,0,100,1,169,1,169,1.57e-62,252,"170193",169,100,"Leuroglossus schmidti","0.994",120040
"Lipolagus ochotensis","eared blacksmelt","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|28881955|ref|NC_004591.1|",93.491,169,11,0,100,1,169,316,484,1.57e-62,252,"170193",169,100,"Leuroglossus schmidti","0.994",120040
"Lipolagus ochotensis","eared blacksmelt","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985564980|dbj|LC020999.1|",92.899,169,12,0,100,1,169,1,169,7.31e-61,246,"170193",169,100,"Leuroglossus schmidti","0.994",120040
"Lipolagus ochotensis","eared blacksmelt","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985564973|dbj|LC020992.1|",92.899,169,12,0,100,1,169,1,169,7.31e-61,246,"170193",169,100,"Leuroglossus schmidti","0.994",120040
"Lipolagus ochotensis","eared blacksmelt","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|2491777271|gb|OQ846466.1|",92.857,168,12,0,99,2,169,2,169,2.63e-60,244,"170193",169,99,"Leuroglossus schmidti","0.994",120040
"Bathylagus pacificus","slender blacksmelt","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985564982|dbj|LC021001.1|",92.216,167,13,0,99,1,167,1,167,4.4e-58,237,"557336",169,99,"Leuroglossus schmidti","0.994",120040
"Bathylagus pacificus","slender blacksmelt","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985564981|dbj|LC021000.1|",92.216,167,13,0,99,1,167,1,167,4.4e-58,237,"557336",169,99,"Leuroglossus schmidti","0.994",120040
"Pseudobathylagus milleri","Pseudobathylagus milleri","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|2491777067|gb|OQ846262.1|",92.216,167,13,0,99,1,167,1,167,4.4e-58,237,"301820",169,99,"Leuroglossus schmidti","0.994",120040
"Melanolagus bericoides","bigscale deepsea smelt","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|1918447530|dbj|LC578932.1|",91.463,164,14,0,97,1,164,1,164,9.53e-55,226,"1459833",169,97,"Leuroglossus schmidti","0.994",120040
"Pseudobathylagus milleri","Pseudobathylagus milleri","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985564978|dbj|LC020997.1|",91.071,168,11,4,98,1,166,1,166,3.43e-54,224,"301820",169,98,"Leuroglossus schmidti","0.994",120040
"Pseudobathylagus milleri","Pseudobathylagus milleri","fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","gi|985564977|dbj|LC020996.1|",91.071,168,11,4,98,1,166,1,166,3.43e-54,224,"301820",169,98,"Leuroglossus schmidti","0.994",120040
"Merluccius angustimanus","Panama hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2580316367|gb|OR575594.1|",100,169,0,0,100,1,169,1306,1474,7.11e-81,313,"247647",169,100,"Merluccius productus","1",90843
"Merluccius productus","North Pacific hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|985567147|dbj|LC091814.1|",100,169,0,0,100,1,169,1,169,7.11e-81,313,"89952",169,100,"Merluccius productus","1",90843
"Merluccius productus","North Pacific hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2386968474|ref|NC_068842.1|",100,169,0,0,100,1,169,315,483,7.11e-81,313,"89952",169,100,"Merluccius productus","1",90843
"Merluccius angustimanus","Panama hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2580316395|gb|OR575596.1|",99.412,170,0,1,100,1,169,1274,1443,3.31e-79,307,"247647",169,100,"Merluccius productus","1",90843
"Merluccius productus","North Pacific hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|985566569|dbj|LC069504.1|",98.824,170,1,1,100,1,169,1,170,1.54e-77,302,"89952",169,100,"Merluccius productus","1",90843
"Merluccius productus","North Pacific hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2491776848|gb|OQ846043.1|",98.824,170,1,1,100,1,169,1,170,1.54e-77,302,"89952",169,100,"Merluccius productus","1",90843
"Merluccius productus","North Pacific hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2329041608|gb|ON005615.1|",98.824,170,1,1,100,1,169,315,484,1.54e-77,302,"89952",169,100,"Merluccius productus","1",90843
"Merluccius productus","North Pacific hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2329041594|gb|ON005614.1|",98.824,170,1,1,100,1,169,315,484,1.54e-77,302,"89952",169,100,"Merluccius productus","1",90843
"Merluccius albidus","offshore hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|1788585394|gb|MN883216.1|",95.294,170,7,1,100,1,169,2,171,1.56e-67,268,"89945",169,100,"Merluccius productus","1",90843
"Merluccius albidus","offshore hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|1788585391|gb|MN883215.1|",95.294,170,7,1,100,1,169,2,171,1.56e-67,268,"89945",169,100,"Merluccius productus","1",90843
"Merluccius albidus","offshore hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2571476450|gb|OR499726.1|",95.294,170,7,1,100,1,169,315,484,1.56e-67,268,"89945",169,100,"Merluccius productus","1",90843
"Merluccius merluccius","European hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2018537145|gb|MW818306.1|",95.266,169,8,0,100,1,169,247,415,1.56e-67,268,"8063",169,100,"Merluccius productus","1",90843
"Merluccius merluccius","European hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|317423520|emb|FR751402.1|",95.266,169,8,0,100,1,169,316,484,1.56e-67,268,"8063",169,100,"Merluccius productus","1",90843
"Merluccius merluccius","European hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|1897352085|gb|MT410897.1|",94.706,170,8,1,100,1,169,316,485,7.26e-66,263,"8063",169,100,"Merluccius productus","1",90843
"Merluccius senegalensis","Senegalese hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2431531000|ref|NC_070350.1|",94.675,169,8,1,100,1,169,316,483,2.61e-65,261,"89953",169,100,"Merluccius productus","1",90843
"Merluccius bilinearis","silver hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|1515576548|gb|MH377833.1|",94.118,170,9,1,100,1,169,2,171,3.38e-64,257,"79698",169,100,"Merluccius productus","1",90843
"Merluccius bilinearis","silver hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2557040018|gb|OR380065.1|",94.118,170,9,1,100,1,169,1,170,3.38e-64,257,"79698",169,100,"Merluccius productus","1",90843
"Merluccius bilinearis","silver hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2571476436|gb|OR499725.1|",94.118,170,9,1,100,1,169,1270,1439,3.38e-64,257,"79698",169,100,"Merluccius productus","1",90843
"Merluccius merluccius","European hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|14485506|emb|AJ315629.1|",95.031,161,8,0,95,9,169,1,161,4.37e-63,254,"8063",169,95,"Merluccius productus","1",90843
"Merluccius merluccius","European hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|2188144255|gb|OM509532.1|",94.839,155,8,0,92,15,169,1,155,9.46e-60,243,"8063",169,92,"Merluccius productus","1",90843
"Merluccius productus","North Pacific hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|227463835|gb|FJ215055.1|",99.242,132,1,0,78,38,169,1,132,1.22e-58,239,"89952",169,78,"Merluccius productus","1",90843
"Merluccius gayi","Southern Pacific hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|227463834|gb|FJ215054.1|",99.242,132,1,0,78,38,169,1,132,1.22e-58,239,"89948",169,78,"Merluccius productus","1",90843
"Merluccius hubbsi","Argentine hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|227463838|gb|FJ215058.1|",96.212,132,5,0,78,38,169,1,132,5.73e-52,217,"89949",169,78,"Merluccius productus","1",90843
"Merluccius bilinearis","silver hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|227463836|gb|FJ215056.1|",96.212,132,5,0,78,38,169,1,132,5.73e-52,217,"79698",169,78,"Merluccius productus","1",90843
"Merluccius australis","southern hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|227463840|gb|FJ215060.1|",95.522,134,3,2,78,38,169,1,133,2.67e-50,211,"89946",169,78,"Merluccius productus","1",90843
"Merluccius capensis","shallow-water Cape hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|227463839|gb|FJ215059.1|",95.455,132,6,0,78,38,169,1,132,2.67e-50,211,"89947",169,78,"Merluccius productus","1",90843
"Merluccius polli","Benguela hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|227463837|gb|FJ215057.1|",95.455,132,6,0,78,38,169,1,132,2.67e-50,211,"89951",169,78,"Merluccius productus","1",90843
"Merluccius bilinearis","silver hake","72d93a313d0244edae1cc9229ebd2525ddaec2ed","gi|4929508|gb|AF149989.1|",93.985,133,6,2,78,39,169,1,133,5.77e-47,200,"79698",169,78,"Merluccius productus","1",90843
"Trachurus symmetricus","Pacific jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2579699094|ref|NC_082545.1|",100,170,0,0,100,1,170,317,486,1.99e-81,315,"271940",170,100,"Trachurus symmetricus","1",72155
"Trachurus symmetricus","Pacific jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|985563278|dbj|LC091961.1|",100,170,0,0,100,1,170,1,170,1.99e-81,315,"271940",170,100,"Trachurus symmetricus","1",72155
"Trachurus symmetricus","Pacific jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2491776878|gb|OQ846073.1|",100,170,0,0,100,1,170,1,170,1.99e-81,315,"271940",170,100,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1848856426|dbj|LC552504.1|",99.401,167,1,0,98,1,167,1,167,4.31e-78,303,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1848856370|dbj|LC552448.1|",99.401,167,1,0,98,1,167,1,167,4.31e-78,303,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1848856369|dbj|LC552447.1|",99.401,167,1,0,98,1,167,1,167,4.31e-78,303,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1804926818|dbj|LC519400.1|",99.401,167,1,0,98,1,167,1,167,4.31e-78,303,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1391894924|dbj|LC385180.1|",99.401,167,1,0,98,1,167,1,167,4.31e-78,303,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus mediterraneus","Mediterranean horse mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1209184514|dbj|LC277958.1|",99.401,167,1,0,98,1,167,1,167,4.31e-78,303,"189388",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|906357501|dbj|AB972182.1|",99.401,167,1,0,98,1,167,1,167,4.31e-78,303,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2059554158|gb|MZ469706.1|",99.401,167,1,0,98,1,167,1,167,4.31e-78,303,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|14602385|ref|NC_002813.1|",99.401,167,1,0,98,1,167,317,483,4.31e-78,303,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1848856483|dbj|LC552561.1|",98.81,168,1,1,98,1,167,1,168,2.01e-76,298,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus picturatus","blue jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1843818456|gb|MT497768.1|",100,161,0,0,95,7,167,1,161,2.01e-76,298,"189389",170,95,"Trachurus symmetricus","1",72155
"Trachurus trachurus","Atlantic horse mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2018537134|gb|MW818295.1|",98.802,167,2,0,98,1,167,249,415,2.01e-76,298,"36212",170,98,"Trachurus symmetricus","1",72155
"Trachurus trachurus","Atlantic horse mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2018537122|gb|MW818283.1|",98.802,167,2,0,98,1,167,249,415,2.01e-76,298,"36212",170,98,"Trachurus symmetricus","1",72155
"Trachurus trachurus","Atlantic horse mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1964039456|emb|LR991652.1|",98.802,167,2,0,98,1,167,317,483,2.01e-76,298,"36212",170,98,"Trachurus symmetricus","1",72155
"Trachurus trachurus","Atlantic horse mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1898139698|gb|MT410871.1|",98.802,167,2,0,98,1,167,317,483,2.01e-76,298,"36212",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|14588633|dbj|AP003092.1|",98.802,167,2,0,98,1,167,317,483,2.01e-76,298,"83875",170,98,"Trachurus symmetricus","1",72155
"Trachurus trachurus","Atlantic horse mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|37360758|dbj|AB096005.1|",98.802,167,2,0,98,1,167,249,415,2.01e-76,298,"36212",170,98,"Trachurus symmetricus","1",72155
"Trachurus trachurus","Atlantic horse mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|58372097|ref|NC_006818.1|",98.802,167,2,0,98,1,167,317,483,2.01e-76,298,"36212",170,98,"Trachurus symmetricus","1",72155
"Trachurus lathami","rough scad","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|1515576526|gb|MH377811.1|",98.802,167,1,1,98,1,167,2,167,7.21e-76,296,"179371",170,98,"Trachurus symmetricus","1",72155
"Trachurus lathami","rough scad","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2557040385|gb|OR380432.1|",98.802,167,1,1,98,1,167,1,166,7.21e-76,296,"179371",170,98,"Trachurus symmetricus","1",72155
"Trachurus lathami","rough scad","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2580278579|gb|OP057107.2|",98.802,167,1,1,98,1,167,317,482,7.21e-76,296,"179371",170,98,"Trachurus symmetricus","1",72155
"Trachurus japonicus","Japanese jack mackerel","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2059554159|gb|MZ469707.1|",98.802,167,1,1,98,1,167,1,166,7.21e-76,296,"83875",170,98,"Trachurus symmetricus","1",72155
"Decapterus macrosoma","shortfin scad","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2186300496|dbj|LC677330.1|",96.407,167,5,1,98,1,167,188,353,3.38e-69,274,"166264",170,98,"Trachurus symmetricus","1",72155
"Decapterus macrosoma","shortfin scad","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|584593657|ref|NC_023458.1|",96.407,167,5,1,98,1,167,317,482,3.38e-69,274,"166264",170,98,"Trachurus symmetricus","1",72155
"Decapterus macrosoma","shortfin scad","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2077241069|dbj|LC645286.1|",96.407,167,5,1,98,1,167,188,353,3.38e-69,274,"166264",170,98,"Trachurus symmetricus","1",72155
"Decapterus macrosoma","shortfin scad","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2070998166|gb|MZ605577.1|",96.407,167,5,1,98,1,167,1,166,3.38e-69,274,"166264",170,98,"Trachurus symmetricus","1",72155
"Decapterus macrosoma","shortfin scad","2d069d6128ed64aa351b164d45bf7f6f5387f663","gi|2070655048|gb|MZ597973.1|",96.407,167,5,1,98,1,167,1,166,3.38e-69,274,"166264",170,98,"Trachurus symmetricus","1",72155
"Thaleichthys pacificus","eulachon","478dd98db3a0a5b681d314fcd6aa476db6e43489","gi|2569353095|gb|OR482559.1|",100,168,0,0,100,1,168,315,482,2.54e-80,311,"240832",168,100,"Thaleichthys pacificus","1",71279
"Thaleichthys pacificus","eulachon","478dd98db3a0a5b681d314fcd6aa476db6e43489","gi|985566936|dbj|LC091603.1|",100,168,0,0,100,1,168,1,168,2.54e-80,311,"240832",168,100,"Thaleichthys pacificus","1",71279
"Thaleichthys pacificus","eulachon","478dd98db3a0a5b681d314fcd6aa476db6e43489","gi|2491776916|gb|OQ846111.1|",100,168,0,0,100,1,168,1,168,2.54e-80,311,"240832",168,100,"Thaleichthys pacificus","1",71279
"Thaleichthys pacificus","eulachon","478dd98db3a0a5b681d314fcd6aa476db6e43489","gi|2329041664|gb|ON005619.1|",100,168,0,0,100,1,168,315,482,2.54e-80,311,"240832",168,100,"Thaleichthys pacificus","1",71279
"Thaleichthys pacificus","eulachon","478dd98db3a0a5b681d314fcd6aa476db6e43489","gi|2314981658|ref|NC_066906.1|",100,168,0,0,100,1,168,315,482,2.54e-80,311,"240832",168,100,"Thaleichthys pacificus","1",71279
"Spirinchus lanceolatus","Spirinchus lanceolatus","478dd98db3a0a5b681d314fcd6aa476db6e43489","gi|84095089|dbj|AB095998.1|",99.405,168,1,0,100,1,168,247,414,1.18e-78,305,"136040",168,100,"Thaleichthys pacificus","1",71279
"Osmerus eperlanus","European smelt","478dd98db3a0a5b681d314fcd6aa476db6e43489","gi|1530725254|gb|MH238074.1|",99.398,166,1,0,99,1,166,315,480,1.53e-77,302,"29151",168,99,"Thaleichthys pacificus","1",71279
"Osmerus eperlanus","European smelt","478dd98db3a0a5b681d314fcd6aa476db6e43489","gi|1530725240|gb|MH238073.1|",99.398,166,1,0,99,1,166,315,480,1.53e-77,302,"29151",168,99,"Thaleichthys pacificus","1",71279
