"Ssciname","scommname","qseqid","sseqid","pident","length","mismatch","gapopen","qcovus","qstart","qend","sstart","send","evalue","bitscore","staxids","qlen","qcovs","annotated_tax","pmatchsel"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305126522|gb|OL457427.1|",98.16,163,3,0,100,1,163,321,483,1.48e-72,285,"72053",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305126507|gb|OL457422.1|",98.16,163,3,0,100,1,163,321,483,1.48e-72,285,"72053",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305126493|gb|OL457420.1|",98.16,163,3,0,100,1,163,321,483,1.48e-72,285,"72053",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus mykiss gairdneri","Oncorhynchus mykiss gairdneri","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305126128|gb|OK336457.1|",98.16,163,3,0,100,1,163,321,483,1.48e-72,285,"857570",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus mykiss newberrii","Great Basin redband trout","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305125756|gb|OL339391.1|",98.16,163,3,0,100,1,163,321,483,1.48e-72,285,"2978582",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus mykiss newberrii","Great Basin redband trout","634d5f7afc94d10e6d910998135507f8cc696675","gi|2305125728|gb|OL339390.1|",98.16,163,3,0,100,1,163,321,483,1.48e-72,285,"2978582",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus kawamurae","Oncorhynchus kawamurae","634d5f7afc94d10e6d910998135507f8cc696675","gi|2268201689|dbj|LC717968.1|",98.16,163,3,0,100,1,163,192,354,1.48e-72,285,"1278982",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus kawamurae","Oncorhynchus kawamurae","634d5f7afc94d10e6d910998135507f8cc696675","gi|2268201688|dbj|LC717967.1|",98.16,163,3,0,100,1,163,192,354,1.48e-72,285,"1278982",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus nerka","sockeye salmon","634d5f7afc94d10e6d910998135507f8cc696675","gi|118722289|ref|NC_008615.1|",98.16,163,3,0,100,1,163,1325,1487,1.48e-72,285,"8023",163,100,"Oncorhynchus tshawytscha","1"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","634d5f7afc94d10e6d910998135507f8cc696675","gi|62161280|ref|NC_006897.1|",98.16,163,3,0,100,1,163,1324,1486,1.48e-72,285,"72053",163,100,"Oncorhynchus tshawytscha","1"
"Stenobrachius leucopsarus","northern lampfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|985565326|dbj|LC026550.1|",100,165,0,0,100,1,165,8,172,1.15e-78,305,"91658",165,100,"Stenobrachius leucopsarus","1"
"Stenobrachius leucopsarus","northern lampfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|2491776868|gb|OQ846063.1|",100,165,0,0,100,1,165,8,172,1.15e-78,305,"91658",165,100,"Stenobrachius leucopsarus","1"
"Stenobrachius leucopsarus","northern lampfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|441416001|dbj|AP012245.1|",100,165,0,0,100,1,165,323,487,1.15e-78,305,"91658",165,100,"Stenobrachius leucopsarus","1"
"Stenobrachius leucopsarus","northern lampfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|1918447622|dbj|LC579024.1|",100,165,0,0,100,1,165,8,172,1.15e-78,305,"91658",165,100,"Stenobrachius leucopsarus","1"
"Stenobrachius nannochir","garnet lanternfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|2603738985|dbj|LC783559.1|",99.394,165,1,0,100,1,165,255,419,5.37e-77,300,"123240",165,100,"Stenobrachius leucopsarus","1"
"Stenobrachius nannochir","garnet lanternfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|985565320|dbj|LC026544.1|",99.394,165,1,0,100,1,165,8,172,5.37e-77,300,"123240",165,100,"Stenobrachius leucopsarus","1"
"Stenobrachius leucopsarus","northern lampfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|985565319|dbj|LC026543.1|",99.394,165,1,0,100,1,165,8,172,5.37e-77,300,"91658",165,100,"Stenobrachius leucopsarus","1"
"Stenobrachius leucopsarus","northern lampfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|2491777433|gb|OQ846628.1|",99.394,165,1,0,100,1,165,8,172,5.37e-77,300,"91658",165,100,"Stenobrachius leucopsarus","1"
"Stenobrachius leucopsarus","northern lampfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|2386968503|ref|NC_068843.1|",99.394,165,1,0,100,1,165,323,487,5.37e-77,300,"91658",165,100,"Stenobrachius leucopsarus","1"
"Lampanyctus sp. CBM:ZF:14792","Lampanyctus sp. CBM:ZF:14792","5665aa2e55ea5163208ff750699263c29c27098e","gi|1018241310|dbj|LC145985.1|",93.939,165,10,0,100,1,165,8,172,5.48e-62,250,"1828386",165,100,"Stenobrachius leucopsarus","1"
"Lampanyctus photonotus","Lampanyctus photonotus","5665aa2e55ea5163208ff750699263c29c27098e","gi|1918447651|dbj|LC579053.1|",93.976,166,8,2,100,1,165,8,172,5.48e-62,250,"885006",165,100,"Stenobrachius leucopsarus","1"
"Lampanyctus simulator","Lampanyctus simulator","5665aa2e55ea5163208ff750699263c29c27098e","gi|1918447561|dbj|LC578963.1|",93.939,165,10,0,100,1,165,8,172,5.48e-62,250,"2768237",165,100,"Stenobrachius leucopsarus","1"
"Lampanyctus sp. NSMT:P:91533","Lampanyctus sp. NSMT:P:91533","5665aa2e55ea5163208ff750699263c29c27098e","gi|2416134279|dbj|LC743620.1|",94.41,161,8,1,97,1,160,194,354,7.09e-61,246,"3014780",165,97,"Stenobrachius leucopsarus","1"
"Lampanyctus sp. CBM:ZF:22573","Lampanyctus sp. CBM:ZF:22573","5665aa2e55ea5163208ff750699263c29c27098e","gi|2416134277|dbj|LC743618.1|",93.865,163,10,0,99,3,165,194,356,7.09e-61,246,"3014779",165,99,"Stenobrachius leucopsarus","1"
"Lampanyctus sp. HUMZ:222529","Lampanyctus sp. HUMZ:222529","5665aa2e55ea5163208ff750699263c29c27098e","gi|2416134274|dbj|LC743615.1|",94.41,161,8,1,97,1,160,194,354,7.09e-61,246,"3014776",165,97,"Stenobrachius leucopsarus","1"
"Lampanyctus acanthurus","Lampanyctus acanthurus","5665aa2e55ea5163208ff750699263c29c27098e","gi|2119031492|dbj|LC654202.1|",94.41,161,8,1,97,1,160,194,354,7.09e-61,246,"2884370",165,97,"Stenobrachius leucopsarus","1"
"Notoscopelus japonicus","Japanese lanternfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|441416099|dbj|AP012252.1|",94.41,161,8,1,97,1,160,1122,1282,7.09e-61,246,"1069386",165,97,"Stenobrachius leucopsarus","1"
"Notoscopelus japonicus","Japanese lanternfish","5665aa2e55ea5163208ff750699263c29c27098e","gi|1918447618|dbj|LC579020.1|",94.41,161,8,1,97,1,160,8,168,7.09e-61,246,"1069386",165,97,"Stenobrachius leucopsarus","1"
"Nannobrachium bristori","Nannobrachium bristori","5665aa2e55ea5163208ff750699263c29c27098e","gi|2580278524|gb|OP057083.2|",93.333,165,11,0,100,1,165,323,487,2.55e-60,244,"1519989",165,100,"Stenobrachius leucopsarus","1"
"Nannobrachium bristori","Nannobrachium bristori","5665aa2e55ea5163208ff750699263c29c27098e","gi|2491776963|gb|OQ846158.1|",93.333,165,11,0,100,1,165,8,172,2.55e-60,244,"1519989",165,100,"Stenobrachius leucopsarus","1"
"Clupea pallasii","Pacific herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|1848856272|dbj|LC552350.1|",100,165,0,0,100,1,165,8,172,1.15e-78,305,"30724",165,100,"Clupea pallasii","1"
"Clupea pallasii","Pacific herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|985564913|dbj|LC020932.1|",100,165,0,0,100,1,165,8,172,1.15e-78,305,"30724",165,100,"Clupea pallasii","1"
"Clupea pallasii","Pacific herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|148922558|ref|NC_009578.1|",100,165,0,0,100,1,165,322,486,1.15e-78,305,"30724",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259499|gb|KC193697.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259485|gb|KC193696.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259471|gb|KC193695.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259457|gb|KC193694.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259443|gb|KC193693.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259429|gb|KC193692.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259415|gb|KC193691.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259387|gb|KC193689.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259373|gb|KC193688.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259345|gb|KC193686.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259331|gb|KC193685.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259317|gb|KC193684.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259303|gb|KC193683.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259289|gb|KC193682.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|426259261|gb|KC193680.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Sprattus sprattus","European sprat","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|148922628|ref|NC_009593.1|",99.394,165,1,0,100,1,165,323,487,5.37e-77,300,"196075",165,100,"Clupea pallasii","1"
"Clupea harengus","Atlantic herring","edfb918a1c15712aff3efaaa86f46d5ee129315e","gi|148922530|ref|NC_009577.1|",99.394,165,1,0,100,1,165,322,486,5.37e-77,300,"7950",165,100,"Clupea pallasii","1"
"Engraulis mordax","northern anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|1593549720|ref|NC_041097.1|",98.802,167,1,1,100,1,167,321,486,7.05e-76,296,"239368",167,100,"Engraulis mordax","0.988"
"Engraulis mordax","northern anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|2571476422|gb|OR499724.1|",98.802,167,1,1,100,1,167,844,1009,7.05e-76,296,"239368",167,100,"Engraulis mordax","0.988"
"Engraulis mordax","northern anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|985566908|dbj|LC091575.1|",98.802,167,1,1,100,1,167,8,173,7.05e-76,296,"239368",167,100,"Engraulis mordax","0.988"
"Engraulis mordax","northern anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|2491776862|gb|OQ846057.1|",98.802,167,1,1,100,1,167,8,173,7.05e-76,296,"239368",167,100,"Engraulis mordax","0.988"
"Anchoa compressa","deep body anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|2491777100|gb|OQ846295.1|",95.808,167,5,1,100,1,167,8,172,1.54e-67,268,"307589",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|1804926754|dbj|LC519336.1|",94.012,167,9,1,100,1,167,8,173,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|1804926753|dbj|LC519335.1|",94.012,167,9,1,100,1,167,8,173,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|1601531953|dbj|LC468861.1|",94.012,167,9,1,100,1,167,8,173,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|1601531952|dbj|LC468860.1|",94.012,167,9,1,100,1,167,8,173,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|1391894945|dbj|LC385201.1|",94.012,167,9,1,100,1,167,8,173,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|1325803902|dbj|AP017957.1|",94.012,167,9,1,100,1,167,322,487,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|985564901|dbj|LC020920.1|",94.012,167,9,1,100,1,167,8,173,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|730942435|gb|KF765500.2|",94.012,167,9,1,100,1,167,322,487,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|1983636112|dbj|LC604998.1|",94.012,167,9,1,100,1,167,200,365,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|22347508|gb|AF417342.1|",94.012,167,9,1,100,1,167,253,418,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|15451803|ref|NC_003097.1|",94.012,167,9,1,100,1,167,322,487,1.55e-62,252,"42892",167,100,"Engraulis mordax","0.988"
"Engraulis japonicus","Japanese anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|1859772299|dbj|LC557053.1|",93.413,167,10,1,100,1,167,8,173,7.2e-61,246,"42892",167,100,"Engraulis mordax","0.988"
"Anchoa delicatissima","slough anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|2491777101|gb|OQ846296.1|",93.413,167,9,2,100,1,167,8,172,7.2e-61,246,"332922",167,100,"Engraulis mordax","0.988"
"Anchoa mitchilli","bay anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|2296348095|gb|OP404809.1|",92.814,167,10,2,100,1,167,18,182,3.35e-59,241,"224718",167,100,"Engraulis mordax","0.988"
"Anchoa mitchilli","bay anchovy","db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","gi|2296348090|gb|OP404804.1|",92.814,167,10,2,100,1,167,18,182,3.35e-59,241,"224718",167,100,"Engraulis mordax","0.988"
"Artedius harringtoni","scalyhead sculpin","6e25e02ff4de015d1dd4f1a25d104890310d7d91","gi|985563237|dbj|LC091920.1|",100,164,0,0,100,1,164,8,171,4.12e-78,303,"433399",164,100,"Artedius harringtoni","1"
"Artedius harringtoni","scalyhead sculpin","6e25e02ff4de015d1dd4f1a25d104890310d7d91","gi|2491777337|gb|OQ846532.1|",100,164,0,0,100,1,164,8,171,4.12e-78,303,"433399",164,100,"Artedius harringtoni","1"
"Artedius lateralis","smoothhead sculpin","6e25e02ff4de015d1dd4f1a25d104890310d7d91","gi|2095925498|gb|OK172570.1|",93.21,162,11,0,99,1,162,254,415,1.18e-58,239,"322683",164,99,"Artedius harringtoni","1"
"Artedius lateralis","smoothhead sculpin","6e25e02ff4de015d1dd4f1a25d104890310d7d91","gi|985563239|dbj|LC091922.1|",92.593,162,12,0,99,1,162,8,169,5.48e-57,233,"322683",164,99,"Artedius harringtoni","1"
"Artedius corallinus","coralline sculpin","6e25e02ff4de015d1dd4f1a25d104890310d7d91","gi|2491777080|gb|OQ846275.1|",92.593,162,11,1,98,1,161,8,169,1.97e-56,231,"283624",164,98,"Artedius harringtoni","1"
"Oncorhynchus nerka","sockeye salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|1293099582|dbj|LC340053.1|",100,162,0,0,100,1,162,8,169,5.25e-77,300,"8023",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus nerka","sockeye salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|2305126655|gb|OL806600.1|",100,162,0,0,100,1,162,321,482,5.25e-77,300,"8023",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus nerka","sockeye salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|1585113497|gb|MG993162.1|",99.387,163,0,1,100,1,162,321,483,2.44e-75,294,"8023",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus nerka","sockeye salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|1585113483|gb|MH003641.1|",99.387,163,0,1,100,1,162,321,483,2.44e-75,294,"8023",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus nerka","sockeye salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|1585113455|gb|MH003639.1|",99.387,163,0,1,100,1,162,321,483,2.44e-75,294,"8023",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus keta | Oncorhynchus nerka","chum salmon;sockeye salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|985566962|dbj|LC091629.1|",99.383,162,1,0,100,1,162,8,169,2.44e-75,294,"8018;8023",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus keta","chum salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|985566566|dbj|LC069501.1|",99.383,162,1,0,100,1,162,8,169,2.44e-75,294,"8018",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus keta","chum salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|2440745881|gb|ON479157.1|",99.383,162,1,0,100,1,162,8,169,2.44e-75,294,"8018",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus nerka","sockeye salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|2305126639|gb|OL806599.1|",99.387,163,0,1,100,1,162,321,483,2.44e-75,294,"8023",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus keta","chum salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|2305126365|gb|OL339394.1|",99.383,162,1,0,100,1,162,321,482,2.44e-75,294,"8018",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus keta","chum salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|2305126350|gb|OL339393.1|",99.383,162,1,0,100,1,162,321,482,2.44e-75,294,"8018",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus kawamurae","Oncorhynchus kawamurae","2f897e083d8c40ee686555b47685e4b3331bf674","gi|2268201689|dbj|LC717968.1|",99.387,163,0,1,100,1,162,192,354,2.44e-75,294,"1278982",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus kawamurae","Oncorhynchus kawamurae","2f897e083d8c40ee686555b47685e4b3331bf674","gi|2268201688|dbj|LC717967.1|",99.387,163,0,1,100,1,162,192,354,2.44e-75,294,"1278982",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus keta","chum salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|385843132|ref|NC_017838.1|",99.383,162,1,0,100,1,162,321,482,2.44e-75,294,"8018",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus nerka","sockeye salmon","2f897e083d8c40ee686555b47685e4b3331bf674","gi|118722289|ref|NC_008615.1|",99.387,163,0,1,100,1,162,1325,1487,2.44e-75,294,"8023",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus mykiss","rainbow trout","2f897e083d8c40ee686555b47685e4b3331bf674","gi|4927735|gb|AF125509.1|AF125509",99.383,162,1,0,100,1,162,253,414,2.44e-75,294,"8022",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus mykiss","rainbow trout","2f897e083d8c40ee686555b47685e4b3331bf674","gi|4927734|gb|AF125508.1|AF125508",99.383,162,1,0,100,1,162,253,414,2.44e-75,294,"8022",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus mykiss","rainbow trout","2f897e083d8c40ee686555b47685e4b3331bf674","gi|4808821|gb|AF113121.1|AF113121",99.383,162,1,0,100,1,162,253,414,2.44e-75,294,"8022",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus mykiss","rainbow trout","2f897e083d8c40ee686555b47685e4b3331bf674","gi|4808820|gb|AF113120.1|AF113120",99.383,162,1,0,100,1,162,253,414,2.44e-75,294,"8022",162,100,"Oncorhynchus nerka","1"
"Oncorhynchus mykiss","rainbow trout","2f897e083d8c40ee686555b47685e4b3331bf674","gi|82492300|gb|DQ288269.1|",98.773,163,1,1,100,1,162,321,483,1.14e-73,289,"8022",162,100,"Oncorhynchus nerka","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468600|gb|KF570345.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468446|gb|KF570334.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468432|gb|KF570333.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468418|gb|KF570332.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468390|gb|KF570330.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468376|gb|KF570329.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468362|gb|KF570328.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468348|gb|KF570327.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468334|gb|KF570326.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
"Tursiops truncatus","common bottlenose dolphin","608960b8da9ff68e2efa11623e04234b0ec7d60b","gi|557468320|gb|KF570325.1|",100,164,0,0,100,1,164,327,490,4.12e-78,303,"9739",164,100,"Tursiops truncatus","1"
